2000000001;Eek Yagozes;59.0
2000000002;Zoro Recapet;37.0
2000000003;Vewacaxo Yoou;54.0
2000000004;Daotiuxo Kedap;88.0
2000000005;Nuotuh Nofonu;64.0
2000000006;Caavu Seadu;90.0
2000000007;Dino Vus;44.0
2000000008;Xihenaaj Mek;70.0
2000000009;Kac Muqigiom;15.0
2000000010;Araa Puhawa;54.0
2000000011;Obiohape Yexax;76.0
2000000012;Dibeufo Yis;99.0
2000000013;Kenetuk Sed;15.0
2000000014;Muituko Ogogital;33.0
2000000015;Kicepunu Davo;94.0
2000000016;Teexoq Lawozu;19.0
2000000017;Zugo Laduku;83.0
2000000018;Han Ozu;23.0
2000000019;Vavomu Pavojeeo;30.0
2000000020;Ewafaw Qiaqepu;38.0
2000000021;Cuyuy Nexewo;10.0
2000000022;Ime Hucalece;86.0
2000000023;Kuditup Xesasoge;90.0
2000000024;Nedihagi Fuadi;29.0
2000000025;Eyimo Monir;29.0
2000000026;Aigo Sacup;93.0
2000000027;Aco Macob;56.0
2000000028;Yin Tayivic;27.0
2000000029;Gaciap Bolisusi;40.0
2000000030;Bax Mah;23.0
2000000031;Vor Fivu;93.0
2000000032;Sazix Deevoi;23.0
2000000033;Akoqi Eyi;55.0
2000000034;Saufene Hedavi;67.0
2000000035;Seherao Fixu;77.0
2000000036;Yuup Verej;97.0
2000000037;Yowopo Diioti;45.0
2000000038;Penofo Eyuseua;38.0
2000000039;Toxic Dilucim;46.0
2000000040;Lazu Gexow;84.0
2000000041;Geyue Ale;14.0
2000000042;Biow Fexowuq;29.0
2000000043;Ohoe Gebivana;53.0
2000000044;Puaguso Korikoe;18.0
2000000045;Abel Viyujec;19.0
2000000046;Pueij Nooyahic;87.0
2000000047;Wawiif Cavisi;36.0
2000000048;Ujeqea Havuabo;86.0
2000000049;Itiro Jedidek;100.0
2000000050;Nui Puzayeu;67.0
2000000051;Baaeqa Fozejaa;15.0
2000000052;Hoiyog Careco;13.0
2000000053;Zig Xiaceviz;87.0
2000000054;Tot Kuzax;53.0
2000000055;Apodeaw Itigeca;15.0
2000000056;Mix Jiyi;12.0
2000000057;Odeizi Make;31.0
2000000058;Yohem Vay;70.0
2000000059;Hato Yedikoy;45.0
2000000060;Viseafi Lanu;31.0
2000000061;Pafu Elaodef;98.0
2000000062;Xehiq Nanawuju;42.0
2000000063;Kidiya Lakaij;85.0
2000000064;Denig Xakiya;80.0
2000000065;Uru Kaepes;77.0
2000000066;Yehuz Aceqekes;41.0
2000000067;Xuniy Viu;32.0
2000000068;Epeg Woluidem;84.0
2000000069;Yizozud Soyiigez;46.0
2000000070;Moqapout Witig;59.0
2000000071;Yagi Voqebuy;48.0
2000000072;Poju Midiuxux;76.0
2000000073;Cuaeye Pagiq;87.0
2000000074;Ada Volu;53.0
2000000075;Nefejeci Puzoyaan;10.0
2000000076;Zoku Get;17.0
2000000077;Ogof Izeoduco;29.0
2000000078;Eeqeuhos Wig;52.0
2000000079;Pisoqije Gor;39.0
2000000080;Suzirasa Koojemao;85.0
2000000081;Komos Fakez;82.0
2000000082;Uifu Ece;21.0
2000000083;Rev Pomima;84.0
2000000084;Gexoj Luwoxa;73.0
2000000085;Lagidume Rekekon;21.0
2000000086;Oinu Nocufouf;86.0
2000000087;Seyaj Olape;72.0
2000000088;Soewo Obufedip;64.0
2000000089;Qovodi Buharicu;92.0
2000000090;Oedutok Fuseo;58.0
2000000091;Zey Wuiaw;54.0
2000000092;Gad Jafa;36.0
2000000093;Zeyoriek Horaru;84.0
2000000094;Veaf Emel;96.0
2000000095;Xidoozuj Kameana;87.0
2000000096;Xuvauner Dakuede;10.0
2000000097;Rubeaoo Wasapo;32.0
2000000098;Gut Hagiyogo;52.0
2000000099;Siwocoj Junuwad;35.0
2000000100;Huebevi Wibe;54.0
2000000101;Ceyap Ganedo;46.0
2000000102;Uoahokox Rauj;49.0
2000000103;Xoba Afe;100.0
2000000104;Mukiat Cejiuho;52.0
2000000105;Wanee Kilec;53.0
2000000106;Kite Bozota;13.0
2000000107;Iapayeak Wafi;87.0
2000000108;Tiuqeke Diopatee;25.0
2000000109;Yima Dule;64.0
2000000110;Mivoxero Ceti;18.0
2000000111;Waemuja Fawue;54.0
2000000112;Wubo Bedere;89.0
2000000113;Rerun Lid;50.0
2000000114;Fuaxal Dete;89.0
2000000115;Vulu Ficoh;71.0
2000000116;Zuai Eriwe;43.0
2000000117;Wisoar Ligayit;31.0
2000000118;Eyo Qih;40.0
2000000119;Eus Axuleeb;81.0
2000000120;Wizuco Icadezi;80.0
2000000121;Coxiu Vacuf;97.0
2000000122;Puele Vepa;30.0
2000000123;Eqice Xozetime;39.0
2000000124;Exuu Agao;56.0
2000000125;Ameuxefa Hobufiio;49.0
2000000126;Ceorezi Juvoto;12.0
2000000127;Gaze Eauco;71.0
